CustomerID,Recency,Frequency,Monetary,CustomerSegment
12747,109,5,191.85,Loyal Customers
12748,70,96,1054.43,Best Customers
12749,130,3,67.0,Lost Customers
12820,74,1,15.0,Almost Lost
12821,214,1,19.92,Lost Customers
12822,70,2,30.799999999999997,Almost Lost
12823,74,3,1224.0,Other
12826,71,2,37.3,Almost Lost
12828,99,3,74.1,Lost Customers
12830,91,5,1556.64,Loyal Customers
12831,262,1,34.199999999999996,Lost Customers
12832,98,1,17.0,Lost Customers
12833,145,1,15.0,Lost Customers
12834,282,1,15.9,Lost Customers
12836,137,2,18.6,Lost Customers
12837,173,1,17.0,Lost Customers
12839,71,7,77.9,Other
12840,143,4,138.6,Loyal Customers
12841,89,10,193.17000000000002,Loyal Customers
12842,70,1,15.0,Almost Lost
12843,159,7,113.25,Loyal Customers
12844,130,1,4.95,Lost Customers
12845,267,3,283.54999999999995,Big Spenders
12849,268,1,34.8,Lost Customers
12851,96,1,4.16,Lost Customers
12853,134,5,187.20000000000002,Loyal Customers
12854,78,2,151.7,Other
12857,210,1,35.7,Lost Customers
12864,138,1,17.4,Lost Customers
12867,96,4,32.35,Other
12868,185,3,69.2,Lost Customers
12871,84,2,178.2,Other
12873,282,1,68.0,Lost Customers
12875,143,1,49.470000000000006,Lost Customers
12877,78,7,170.14000000000001,Best Customers
12878,236,2,45.0,Lost Customers
12879,81,2,183.6,Other
12881,275,1,195.0,Big Spenders
12883,89,1,17.85,Lost Customers
12884,88,1,170.0,Big Spenders
12885,123,1,19.8,Lost Customers
12886,219,1,17.0,Lost Customers
12888,214,2,106.56,Big Spenders
12891,185,2,289.0,Big Spenders
12895,86,1,19.8,Lost Customers
12897,204,1,58.0,Lost Customers
12901,81,20,5915.66,Best Customers
12902,264,1,17.700000000000003,Lost Customers
12904,172,1,9.95,Lost Customers
12906,78,2,79.19999999999999,Almost Lost
12908,176,1,432.0,Big Spenders
12909,87,4,107.16,Loyal Customers
12910,78,5,245.46,Best Customers
12913,282,1,15.299999999999999,Lost Customers
12915,148,1,23.4,Lost Customers
12916,138,3,171.5,Big Spenders
12917,128,1,297.0,Big Spenders
